RoomType;Room_ID;hasCoordinate;Height;W;D;OpeningArea;WFR;v_out;T_out;Distance;T_10_ID;T_10;T_20_ID;T_20;T_30_ID;T_30;T_40_ID;T_40;T_50_ID;T_50;T_60_ID;T_60;T_70_ID;T_70;T_80_ID;T_80;T_90_ID;T_90;T_100_ID;T_100
Standard;:Standard_075;{-1.55, -1.8, -1.3};1;3,5;4;0,75;0,0534;3;5;1,915888;Res_V_T10_1;0,14497;Res_V_T20_1;0,129318;Res_V_T30_1;0,14895;Res_V_T40_1;0,130325;Res_V_T50_1;0,153362;Res_V_T60_1;0,130175;Res_V_T70_1;0,154243;Res_V_T80_1;0,130571;Res_V_T90_1;0,160076;Res_V_T1000_1;0,132794
Standard;:Standard_075;{-1.55, -1.5, -1.3};1;3,5;4;0,75;0,0534;3;5;1,946953;Res_V_T10_2;0,106913;Res_V_T20_2;0,103114;Res_V_T30_2;0,106169;Res_V_T40_2;0,102171;Res_V_T50_2;0,112732;Res_V_T60_2;0,10178;Res_V_T70_2;0,114196;Res_V_T80_2;0,103581;Res_V_T90_2;0,12021;Res_V_T100_2;0,105987
Standard;:Standard_075;{-1.55, -1.2, -1.3};1;3,5;4;0,75;0,0534;3;5;2,022529;Res_V_T10_3;0,107309;Res_V_T20_3;0,108407;Res_V_T30_3;0,105599;Res_V_T40_3;0,106122;Res_V_T50_3;0,116111;Res_V_T60_3;0,106561;Res_V_T70_3;0,119544;Res_V_T80_3;0,109423;Res_V_T90_3;0,126637;Res_V_T100_3;0,111553
Standard;:Standard_075;{-1.55, -0.9, -1.3};1;3,5;4;0,75;0,0534;3;5;2,137902;Res_V_T10_4;0,110364;Res_V_T20_4;0,112887;Res_V_T30_4;0,108452;Res_V_T40_4;0,109772;Res_V_T50_4;0,123786;Res_V_T60_4;0,111841;Res_V_T70_4;0,131409;Res_V_T80_4;0,116217;Res_V_T90_4;0,140112;Res_V_T100_4;0,117288
Standard;:Standard_075;{-1.55, -0.6, -1.3};1;3,5;4;0,75;0,0534;3;5;2,287056;Res_V_T10_5;0,112175;Res_V_T20_5;0,115359;Res_V_T30_5;0,109876;Res_V_T40_5;0,111994;Res_V_T50_5;0,129447;Res_V_T60_5;0,115277;Res_V_T70_5;0,142717;Res_V_T80_5;0,120869;Res_V_T90_5;0,153369;Res_V_T100_5;0,120589
Standard;:Standard_075;{-1.55, -0.3, -1.3};1;3,5;4;0,75;0,0534;3;5;2,463864;Res_V_T10_6;0,113369;Res_V_T20_6;0,117146;Res_V_T30_6;0,109985;Res_V_T40_6;0,113959;Res_V_T50_6;0,132567;Res_V_T60_6;0,117915;Res_V_T70_6;0,153164;Res_V_T80_6;0,124309;Res_V_T90_6;0,166418;Res_V_T100_6;0,122515
Standard;:Standard_075;{-1.55, 0.0, -1.3};1;3,5;4;0,75;0,0534;3;5;2,662823;Res_V_T10_7;0,113687;Res_V_T20_7;0,118275;Res_V_T30_7;0,109466;Res_V_T40_7;0,115596;Res_V_T50_7;0,132423;Res_V_T60_7;0,119859;Res_V_T70_7;0,158961;Res_V_T80_7;0,126419;Res_V_T90_7;0,174891;Res_V_T100_7;0,12329
Standard;:Standard_075;{-1.55, 0.3, -1.3};1;3,5;4;0,75;0,0534;3;5;2,879345;Res_V_T10_8;0,112379;Res_V_T20_8;0,117941;Res_V_T30_8;0,107869;Res_V_T40_8;0,116159;Res_V_T50_8;0,129888;Res_V_T60_8;0,120908;Res_V_T70_8;0,161388;Res_V_T80_8;0,127219;Res_V_T90_8;0,180922;Res_V_T100_8;0,122351
Standard;:Standard_075;{-1.55, 0.6, -1.3};1;3,5;4;0,75;0,0534;3;5;3,109763;Res_V_T10_9;0,108881;Res_V_T20_9;0,115312;Res_V_T30_9;0,105024;Res_V_T40_9;0,114966;Res_V_T50_9;0,123859;Res_V_T60_9;0,12073;Res_V_T70_9;0,158756;Res_V_T80_9;0,126073;Res_V_T90_9;0,183863;Res_V_T100_9;0,118538
Standard;:Standard_075;{-1.55, 0.9, -1.3};1;3,5;4;0,75;0,0534;3;5;3,351212;Res_V_T10_10;0,104008;Res_V_T20_10;0,110755;Res_V_T30_10;0,101339;Res_V_T40_10;0,111661;Res_V_T50_10;0,116281;Res_V_T60_10;0,11851;Res_V_T70_10;0,150717;Res_V_T80_10;0,122494;Res_V_T90_10;0,180953;Res_V_T100_10;0,112454
