RoomID	RoomType	OriginID	OriginPoint	Height	Width	Depth	WFR	OutdoorVelocity	OutdoorTemperature	DistanceFromWindow	PointID	Point	ResultID_T10	T_10	ResultID_T20	T_20	ResultID_T30	T_30	ResultID_T40	T_40	ResultID_T50	T_50	ResultID_T60	T_60	ResultID_T70	T_70	ResultID_T80	T_80	ResultID_T90	T_90	ResultID_T100	T_100
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	1.915888	SR_P1	"{-1.55, -1.8, -1.3}"	Res_T10_1	0.14497	Res_T20_1	0.129318	Res_T30_1	0.14895	Res_T40_1	0.130325	Res_T50_1	0.153362	Res_T60_1	0.130175	Res_T70_1	0.154243	Res_T80_1	0.130571	Res_T90_1	0.160076	Res_T100_1	0.132794
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	1.946953	SR_P2	"{-1.55, -1.5, -1.3}"	Res_T10_2	0.106913	Res_T20_2	0.103114	Res_T30_2	0.106169	Res_T40_2	0.102171	Res_T50_2	0.112732	Res_T60_2	0.10178	Res_T70_2	0.114196	Res_T80_2	0.103581	Res_T90_2	0.12021	Res_T100_2	0.105987
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	2.022529	SR_P3	"{-1.55, -1.2, -1.3}"	Res_T10_3	0.107309	Res_T20_3	0.108407	Res_T30_3	0.105599	Res_T40_3	0.106122	Res_T50_3	0.116111	Res_T60_3	0.106561	Res_T70_3	0.119544	Res_T80_3	0.109423	Res_T90_3	0.126637	Res_T100_3	0.111553
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	2.137902	SR_P4	"{-1.55, -0.9, -1.3}"	Res_T10_4	0.110364	Res_T20_4	0.112887	Res_T30_4	0.108452	Res_T40_4	0.109772	Res_T50_4	0.123786	Res_T60_4	0.111841	Res_T70_4	0.131409	Res_T80_4	0.116217	Res_T90_4	0.140112	Res_T100_4	0.117288
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	2.287056	SR_P5	"{-1.55, -0.6, -1.3}"	Res_T10_5	0.112175	Res_T20_5	0.115359	Res_T30_5	0.109876	Res_T40_5	0.111994	Res_T50_5	0.129447	Res_T60_5	0.115277	Res_T70_5	0.142717	Res_T80_5	0.120869	Res_T90_5	0.153369	Res_T100_5	0.120589
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	2.463864	SR_P6	"{-1.55, -0.3, -1.3}"	Res_T10_6	0.113369	Res_T20_6	0.117146	Res_T30_6	0.109985	Res_T40_6	0.113959	Res_T50_6	0.132567	Res_T60_6	0.117915	Res_T70_6	0.153164	Res_T80_6	0.124309	Res_T90_6	0.166418	Res_T100_6	0.122515
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	2.662823	SR_P7	"{-1.55, 0.0, -1.3}"	Res_T10_7	0.113687	Res_T20_7	0.118275	Res_T30_7	0.109466	Res_T40_7	0.115596	Res_T50_7	0.132423	Res_T60_7	0.119859	Res_T70_7	0.158961	Res_T80_7	0.126419	Res_T90_7	0.174891	Res_T100_7	0.12329
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	2.879345	SR_P8	"{-1.55, 0.3, -1.3}"	Res_T10_8	0.112379	Res_T20_8	0.117941	Res_T30_8	0.107869	Res_T40_8	0.116159	Res_T50_8	0.129888	Res_T60_8	0.120908	Res_T70_8	0.161388	Res_T80_8	0.127219	Res_T90_8	0.180922	Res_T100_8	0.122351
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	3.109763	SR_P9	"{-1.55, 0.6, -1.3}"	Res_T10_9	0.108881	Res_T20_9	0.115312	Res_T30_9	0.105024	Res_T40_9	0.114966	Res_T50_9	0.123859	Res_T60_9	0.12073	Res_T70_9	0.158756	Res_T80_9	0.126073	Res_T90_9	0.183863	Res_T100_9	0.118538
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	0.1	3.5	4	0.0534	3	5	3.351212	SR_P10	"{-1.55, 0.9, -1.3}"	Res_T10_10	0.104008	Res_T20_10	0.110755	Res_T30_10	0.101339	Res_T40_10	0.111661	Res_T50_10	0.116281	Res_T60_10	0.11851	Res_T70_10	0.150717	Res_T80_10	0.122494	Res_T90_10	0.180953	Res_T100_10	0.112454
